author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;house_number;underground;residential_complex
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/292719308/;Москва;sale;flat;4;8;3;117.7;1444350;170000000;Арбат;Большой Афанасьевский переулок;28;Арбатская;
ID 39404589;developer;https://www.cian.ru/sale/flat/284502322/;Москва;sale;flat;22;34;3;63.3;409900;25946670;Обручевский;;;Воронцовская;Эвер ЖК
Дмитрий Максимов;realtor;https://www.cian.ru/sale/flat/293132815/;Москва;sale;flat;20;47;2;47.1;535000;25198500;Раменки;1-й Сетуньский проезд;вл8;Кутузовская;Hide
Forma;developer;https://www.cian.ru/sale/flat/294068455/;Москва;sale;flat;10;25;3;86.4;447425;38657606;Печатники;Южнопортовая ;;Печатники;Portland
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/294076770/;Москва;sale;flat;20;53;3;94.5;401058;37900000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
Ташир;developer;https://www.cian.ru/sale/flat/284846983/;Москва;sale;flat;31;32;3;85.2;468000;39873600;Черемушки;Херсонская ;43к5;Калужская;ONYX Deluxe
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/290239245/;Москва;sale;flat;5;13;2;90.0;1098888;98900000;Хамовники; Усачева;15кБ;Спортивная;Садовые кварталы
Level Group;developer;https://www.cian.ru/sale/flat/294584584/;Москва;sale;flat;3;21;3;149.2;376658;56197448;Басманный;;;Электрозаводская;Левел Бауманская ЖК
Greg Development Company;official_representative;https://www.cian.ru/sale/flat/294470333/;Москва;sale;flat;11;14;4;133.1;435762;58000000;Замоскворечье;Большой Строченовский переулок;9;Павелецкая;Резиденции Замоскворечье
Level Group;developer;https://www.cian.ru/sale/flat/293823667/;Москва;sale;flat;29;32;3;81.6;706619;57660166;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/295096926/;Москва;sale;flat;8;8;4;184.5;379403;70000000;Даниловский;2-й Павелецкий проезд;5С1;Марксистская;RIVERDALE APARTMENTS
EraOneHolding;developer;https://www.cian.ru/sale/flat/274789010/;Москва;sale;flat;6;8;2;113.7;1000000;113700000;Арбат; Арбат;24;Арбатская;Turandot Residences
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/292001579/;Москва;sale;flat;20;53;4;95.0;399894;37990000;Хорошево-Мневники; Народного Ополчения;15К3;Народное Ополчение;Wellton Towers
